ornek936 ornek937 ornek938 ornek939 ornek940 ornek941 ornek942 ornek943 ornek944 ornek945 ornek946 ornek947 ornek948 ornek880 ornek881 ornek882 ornek883 ornek884 ornek885 ornek886 ornek887 ornek888 ornek889 ornek890 ornek891 ornek892 ornek893 ornek894 ornek895 ornek896 ornek897 ornek898 ornek899 ornek900 ornek901 ornek902 ornek903 ornek904 ornek905 ornek906 ornek907 ornek908 ornek909 ornek910 ornek911 ornek912 ornek913
200745_s_at 12.4429922712669 12.4731231053868 11.6190937204494 11.6383121427467 12.2850513598375 12.3185642991919 12.329215787673 11.0361023085101 11.8863808147468 12.5397962258511 12.1967260805791 12.3668684419965 12.7648894000324 11.7191790397461 11.1490437038256 11.8779843706181 11.6892355937471 12.1541722526759 11.7321504961269 11.3038103748445 11.3242787391489 11.7497457332591 11.9410601133908 12.2047046924072 11.2999474598115 11.4064950518269 11.5633214564418 11.7668198778485 12.5700547235599 11.7561980344712 11.3065316457308 10.7579075741708 10.9450729657951 11.3519895339494 11.1755246139386 11.3757747161076 12.1019241990749 11.8822442885487 11.1333684514291 11.6267395141355 11.7215393834366 12.022422316903 11.6630463424351 11.4078996007674 11.2975090379871 11.4911560505235 11.7971847521907
1556842_at 3.75058901576651 3.66537427107455 4.26203769054828 5.12146744286712 4.15806943586699 3.99778659019813 4.34288337623804 3.61559431348562 3.79109604794746 4.15483359688745 3.76840439286819 3.85897321516908 3.99409192679569 3.80457179494938 3.60449619312466 3.61431708182269 4.09985081237102 4.01756242000135 3.77999814674677 3.77630262597192 3.72380155142476 3.8097869164369 3.94936936931506 3.65709995463939 3.73044012069742 3.58714292350316 3.74190727249663 3.73253354035689 3.86017902550296 3.82087073473324 4.10388079235492 3.88602480621153 3.90086908145152 3.96286008033614 3.81350273660255 4.00437310224788 3.98446107513942 3.77360902335423 3.71566176466028 3.76273977739726 3.67761848748035 3.7170246016656 3.92459928410143 3.77950124983273 3.97831585487309 3.94271839634089 3.80391312112494
224706_at 10.5902896714479 9.8576308321923 10.526913664681 10.488225860499 9.88254654371636 9.56375252163361 9.61686941781706 10.2905012428257 10.2225355158823 10.0886872577317 9.99507735312546 9.63348597626045 10.0656427334708 10.5775045053079 9.45984573155748 10.2572190461303 10.4993201970654 10.0600206289693 10.6460769253505 9.98006955497839 10.3022472577062 11.3054425428287 10.2601763513321 9.86411388463861 9.5277282978852 9.43318525829947 9.84827936686178 10.2250056763474 11.7379616702175 11.1821740219483 11.2304041801888 9.31341184850495 9.3398806502952 9.9995504591692 10.2207768807494 9.83933790468791 10.010014994087 9.97714154167888 9.90656030295613 10.5350162983439 10.1663797206093 9.93965553279632 10.2548962365952 10.0299606960963 10.3500248341804 10.1993543592135 10.1181204591422
207935_s_at 4.43478537613743 4.3595787649545 5.47156815022637 5.97401267245986 5.06855408421563 4.64003020003394 5.17199706883371 4.4996217873624 4.57723777821714 4.65571189535955 5.22091151620503 4.89335290215134 5.0346005881934 4.7944258476434 4.59046618931282 4.86137578259921 5.07432956373163 5.26502113234211 4.54225245720052 4.53597435927948 4.89989337649231 4.59383780207367 4.8958595732053 4.31498047232495 4.53416023924287 4.64667317064803 4.4040676552657 4.58689272704717 4.55639523672832 4.89841241387116 4.99340184238044 4.67189093125466 4.50312691687572 4.53808639560268 4.97185328256439 4.82590656223273 4.23958525852464 4.46428269865417 4.32278075364968 4.70214885233028 4.89607984421744 4.74436637139841 4.44595559573271 4.61653405433636 4.93568394194548 4.58691290391996 4.61996716396249
234234_at 5.46401665492263 5.6199501943791 6.69439195374431 6.79743997468887 5.5614176604164 6.20940922539977 5.7251223332685 5.41510117487489 5.2870042499968 5.31063526530757 5.8145651381396 5.48316259572131 5.81688349110256 5.73904055582491 5.7701245667202 5.28921556230632 5.37804635027546 5.75482130254592 5.74755388881152 5.36072857093487 6.04530693608253 5.59227118593538 5.68533549925265 5.38527964279412 5.30380703455102 5.28627722999286 5.59244412842747 5.33228508941553 6.20795468304479 5.56467057807533 6.38643747521066 5.74721080990122 5.50993222832558 5.70773560997367 5.76722933675282 5.87818164835803 5.33619756270102 5.28738979407067 6.29218795482465 5.66950690580047 5.47598050623676 5.53069299818093 5.45802713086911 6.06216258043108 6.08858383896069 5.76010638471988 5.49031383098782
201989_s_at 11.4821119371081 11.16067263278 11.2552327580578 10.1607370333628 11.6810303373218 11.7285354233728 11.8087812078159 10.7368882742184 11.4026305123542 11.4409176380883 11.434218721525 11.5484547501099 11.1785029877398 11.0864089513123 10.860222479016 11.2710514980171 10.9527916876584 11.2022167854394 11.5260475522883 11.4375636694796 11.515597379856 10.814752117766 10.0879714224168 11.1745982278486 9.6931415408258 10.35982378529 10.8232923252541 10.6536335275764 11.5729698147593 10.3358943569729 12.1877559096312 10.4713731975758 10.5576694018198 9.81892003715935 11.459322288862 8.80270692149639 9.7359595177824 10.5084069182668 11.3875460155145 10.7783857831839 11.5105715024952 11.9547634267338 11.8374490058142 11.5195849298673 11.1359100597992 11.12910555329 11.7628522830346
1569439_at 4.04782502024827 3.96462419474604 4.83066072778066 4.52303336508301 3.94577799594879 3.9959564182229 4.21872070912012 4.02729197137914 3.94315794025189 4.04026874249632 4.46584895077492 4.36290376722882 4.07734674891032 4.76444936542161 4.10613812190753 4.07154933070325 4.23046312579812 4.02160346315307 4.03339035329898 3.95801179707171 4.20184329971342 3.89290425006803 3.9031131561356 4.10213818659376 4.23601073864071 4.04957868494781 3.86440867623335 3.96736863093901 3.75029975140518 4.64938875424159 4.97029126011821 4.88537691498159 4.31339222438784 3.94976130326579 3.95951411862335 4.26510925412027 4.95029046833143 4.44736113868638 4.17355133500136 4.31814723073573 4.13952939243913 4.03542985698527 4.10550991604839 4.25114684653184 3.83580144438889 4.28622991715024 4.28517800570111
203624_at 9.40979636480202 8.09669728432478 9.16147244005464 9.13270985780144 9.42378593449939 9.00350246993935 9.14219537798058 8.79498240431447 9.28661504984636 8.74870311756823 9.1264322224805 9.09320710628331 8.47905484039951 9.00362466181536 9.35643735283257 8.99199629164906 9.09903273327675 9.01763639028717 9.2199590027547 8.50087119365707 9.05186645720968 8.5815462594144 8.49091007012214 8.09179561042839 8.77982132962219 9.31033332023381 8.89038026516817 9.3888592620382 8.66408161377216 10.089548727698 10.2068902684403 9.77009200458994 9.53331892080112 8.24466419604015 8.72453746866401 8.38673568206732 8.88001303762223 10.2120975586895 9.22428732408023 8.95289699532718 9.71554813797484 9.4113325682573 9.34352496926464 10.2776619674232 10.4043598050552 9.80071531251737 9.66915034237486
219704_at 7.08713409791854 9.01601124511538 7.37985972759413 8.4492791413992 7.29995226582359 7.61131503204359 7.43084413322027 8.60579449939439 6.82418392478674 8.00841587950382 7.34513567054789 7.41013719392966 8.31654033925638 8.25019082580031 8.40757602647233 6.75362389556665 6.79373538398844 6.92025606933443 7.72159569603279 7.52831280179709 7.85559480077224 7.67458070732647 7.85725035565864 7.57298017780759 8.0601109868325 7.74947246704953 8.69052144770193 8.29889359498673 7.05272941165755 6.60434826547419 7.00180780844431 6.96309894780109 7.11545822685072 8.50292339612088 7.48302521416249 8.49534559401125 7.93093896326049 6.34380202128364 8.60511743076579 8.01283178370906 6.79762173987835 6.74456344441228 7.53112008311773 6.78799015309084 6.53826013308329 6.70609099506411 7.12956378359826
1565406_a_at 5.66669475646638 6.13943630474702 6.27170928396306 7.45729275524004 6.40440270778794 6.40826538019772 6.35980447830157 6.08944900205372 5.93698407272994 5.60422176342247 6.24664835485419 6.20053455219548 5.60945856905756 5.73464779523646 5.6785884169811 6.03504143861948 6.49319987806763 5.96577763044741 5.25509166126052 6.39964573772842 5.61887151886242 5.80677344839466 5.77462755164131 5.30537176887006 5.47670060705385 7.21071110394272 6.25334125328088 5.65251280623177 6.19452972546569 6.24851319235885 5.80148766470335 6.13080596082044 5.95087380661351 5.31196724873855 5.29499816803915 5.37579714567431 5.76713994352225 6.52357981667825 5.74417651236068 6.71889817639859 6.00461198998399 5.55275376133163 5.60372889511822 5.60650990819362 6.03712206446666 5.6283300113343 6.32883312549194
203844_at 3.46843426583466 3.45475836247328 3.98787005939958 4.05432657644398 3.69685110370407 4.03266606006526 3.7387500711602 3.36538493725141 4.05024236441077 3.62078504209825 3.92220887935897 3.77852962685784 3.7498660461196 3.25058896953022 3.63814674327035 3.70180281423347 3.83988719402294 4.03817817033756 3.62253073634927 3.48791297837542 3.70896978546271 3.62554054752045 3.81202199942258 3.47024938003842 3.78076186161009 3.32969201873016 3.73987846414715 3.72459214302414 3.65568244711716 3.92916352303851 3.83956382844349 3.69577498309946 4.02501284274054 3.95175115703684 3.52884141001799 4.10366680181056 3.41489597936394 3.92934139855382 3.84414144920703 3.83593109419689 3.87819880810444 3.94379656511399 3.83611049114326 3.7575992603171 3.86646291861244 3.84604136569492 3.75732450745333
227752_at 4.75526938259012 4.77299701338783 5.32084322740428 5.58910067437914 4.42879740843642 4.55101140520721 4.50983224660887 5.55260393067265 4.42257490262131 4.96793918275403 4.60457296822767 4.55851829927038 4.76865766443085 5.5938202598571 5.14217427278969 4.72866829195116 5.98295470252071 6.30667607202564 5.75685063827475 4.90165836614473 6.00656547932828 5.04187405011046 4.96670222004976 5.07479696425619 5.11498914408386 4.90157802441401 5.13778548588355 5.29600532504991 4.75470959000894 4.42857126759937 4.94750400039076 4.68748851889303 4.66180608581402 6.0264760255851 6.58524796085619 5.87910389765983 5.17003547229829 6.84947409944639 5.52602753767147 5.48291468186793 6.01841256745269 4.99199742734014 5.59468168861951 6.73126966853885 4.92412703735423 5.36051793566338 5.30373407815917
225699_at 9.03743023062851 9.14918745160717 9.32622794436521 9.19394883021749 9.21941659004207 9.2686195422989 9.32590891242615 8.54305393889976 8.9107802122952 8.86873250946709 8.89477690401912 8.82899442598674 8.90157315583854 9.54082079130831 9.55379175025301 9.46279666511393 8.92802544305062 10.1423329874082 8.97957446368573 9.03766758965645 8.61454497460952 8.82316596931545 10.6901925355361 8.33345514572783 8.34232306678492 9.30787389791843 8.27823702854025 9.74067613998454 10.398367791329 9.95965035407189 9.43326026776995 9.68290632153886 8.71370787266856 8.80364213745167 8.56502844920248 9.65798401968009 7.90005844145852 9.17208832671183 7.056557720339 7.2747863833435 9.60054395217432 8.73659409008261 9.12504933892184 8.9588117124395 7.43741817499205 9.48674930632779 8.58119375430131
