# Program:featureCounts v2.0.6; Command:"featureCounts" "-T4" "-t" "CDS" "-a" "data/ref/GCA_000007565.2_ASM756v2_genomic.gtf" "-o" "results/counts/counts-SRR7029607-bwa.txt" "results/alignment/bwa/SRR7029607.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/bwa/SRR7029607.sorted.bam
PP_0001	AE015451.2	150	1019	-	870	1335
PP_0002	AE015451.2	1032	1820	-	789	1545
PP_0003	AE015451.2	1842	2489	-	648	803
PP_0004	AE015451.2	2489	4381	-	1893	3773
PP_0005	AE015451.2	5015	6382	-	1368	1941
PP_0006	AE015451.2	6474	8153	-	1680	2588
PP_0007	AE015451.2	8159	8401	-	243	303
PP_0008	AE015451.2	8397	8798	-	402	1539
PP_0009	AE015451.2	8815	8946	-	132	1156
PP_0010	AE015451.2	9542	11059	+	1518	2574
PP_0011	AE015451.2	11103	12203	+	1101	1742
PP_0012	AE015451.2	12222	13322	+	1101	1055
PP_0013	AE015451.2	13330	15747	+	2418	2550
PP_5421	AE015451.2	16589	17224	+	636	30
PP_0014	AE015451.2	17208	19163	+	1956	72
PP_0015	AE015451.2	19163	20119	+	957	90
PP_0016	AE015451.2	20198	22111	+	1914	503
PP_0017	AE015451.2	22171	22527	+	357	591
PP_0018	AE015451.2	23176	24015	+	840	261
PP_0019	AE015451.2	24000	24695	+	696	1437
PP_0020	AE015451.2	24695	25567	+	873	1213
PP_0021	AE015451.2	25881	26801	+	921	150
PP_0022	AE015451.2	26992	27153	-	162	250
PP_0023	AE015451.2	27602	27727	-	126	580
PP_0024	AE015451.2	27853	29547	-	1695	64
PP_0025	AE015451.2	29993	30142	-	150	146
PP_0026	AE015451.2	30431	31333	+	903	1898
PP_0027	AE015451.2	31404	31841	+	438	266
PP_0028	AE015451.2	31880	32203	-	324	36
PP_5422	AE015451.2	32402	32572	+	171	8
PP_0029	AE015451.2	32893	33564	+	672	1852
PP_0030	AE015451.2	33564	34979	+	1416	2033
PP_0031	AE015451.2	35043	35627	-	585	36
PP_0032	AE015451.2	35894	36112	+	219	30
PP_0033	AE015451.2	36201	37652	-	1452	138
PP_0034	AE015451.2	37649	38629	-	981	30
PP_0035	AE015451.2	38598	39014	-	417	10
PP_0036	AE015451.2	39272	40237	+	966	20
PP_0037	AE015451.2	40469	41755	+	1287	75
PP_0039	AE015451.2	42057	43079	+	1023	288
PP_0040	AE015451.2	43210	43431	+	222	153
PP_0041	AE015451.2	43530	45524	-	1995	187
PP_0042	AE015451.2	45730	46050	-	321	16
PP_0043	AE015451.2	46216	49374	-	3159	233
PP_0044	AE015451.2	49402	50649	-	1248	161
PP_0045	AE015451.2	50721	51989	-	1269	87
PP_0046	AE015451.2	52394	53734	+	1341	64
PP_0047	AE015451.2	54227	54898	+	672	39
PP_0048	AE015451.2	55019	55339	+	321	7
PP_5423	AE015451.2	55447	55971	-	525	39
PP_0049	AE015451.2	56164	57627	-	1464	2094
PP_5424	AE015451.2	57643	58089	-	447	1211
PP_0050	AE015451.2	58780	59184	-	405	315
PP_0051	AE015451.2	59319	60608	-	1290	455
PP_0052	AE015451.2	60831	61712	+	882	1322
PP_0053	AE015451.2	61756	63021	+	1266	1231
PP_0054	AE015451.2	62982	63836	+	855	967
PP_0055	AE015451.2	63831	64715	-	885	355
PP_0056	AE015451.2	64943	66592	+	1650	294
PP_0057	AE015451.2	66693	68309	+	1617	144
PP_0058	AE015451.2	68490	69272	-	783	419
PP_0059	AE015451.2	69322	69846	-	525	336
PP_0060	AE015451.2	69853	71904	-	2052	3074
PP_0061	AE015451.2	71904	72848	-	945	1539
PP_0062	AE015451.2	72932	73480	+	549	545
PP_0063	AE015451.2	73525	74409	+	885	752
PP_0064	AE015451.2	74513	74824	-	312	157
PP_0065	AE015451.2	74839	76209	-	1371	576
PP_0066	AE015451.2	76236	77543	-	1308	621
PP_0067	AE015451.2	77543	78472	-	930	425
PP_0068	AE015451.2	78536	79039	-	504	939
PP_0069	AE015451.2	79246	80340	+	1095	267
PP_0070	AE015451.2	80386	80940	+	555	287
PP_5425	AE015451.2	81077	81274	+	198	64
PP_0071	AE015451.2	81691	82020	+	330	92
PP_0072	AE015451.2	82154	83128	-	975	2087
PP_0073	AE015451.2	83261	84169	+	909	767
PP_0074	AE015451.2	84198	85019	+	822	442
PP_0075	AE015451.2	85155	86717	-	1563	229
PP_0076	AE015451.2	86865	87785	-	921	714
PP_0077	AE015451.2	87803	89317	-	1515	144
PP_0079	AE015451.2	89426	90322	+	897	99
PP_0080	AE015451.2	90450	91064	-	615	408
PP_0081	AE015451.2	91078	91446	+	369	369
PP_0082	AE015451.2	91573	92379	-	807	295
PP_0083	AE015451.2	92379	93593	-	1215	265
PP_0084	AE015451.2	93704	94597	+	894	706
PP_0085	AE015451.2	94600	95085	-	486	930
PP_0086	AE015451.2	95071	95283	+	213	972
PP_0087	AE015451.2	95345	95605	+	261	990
PP_0088	AE015451.2	95683	96684	-	1002	800
PP_0089	AE015451.2	96837	97259	+	423	444
PP_0090	AE015451.2	97275	97568	+	294	756
PP_0091	AE015451.2	97610	98020	-	411	1528
PP_0092	AE015451.2	98079	98489	-	411	1132
PP_0093	AE015451.2	98575	99648	+	1074	404
PP_0094	AE015451.2	99761	100408	-	648	355
PP_0095	AE015451.2	100533	101078	-	546	337
PP_0096	AE015451.2	101181	103229	+	2049	2284
PP_0097	AE015451.2	103229	103507	+	279	296
PP_0098	AE015451.2	103529	103699	+	171	58
PP_0099	AE015451.2	103842	104897	+	1056	153
PP_0100	AE015451.2	105207	105923	+	717	1208
PP_0101	AE015451.2	106134	107648	+	1515	609
PP_5426	AE015451.2	107802	108440	-	639	11081
PP_0103	AE015451.2	108810	109934	+	1125	3258
PP_0104	AE015451.2	109981	111567	+	1587	1590
PP_0105	AE015451.2	111580	112143	+	564	743
PP_0106	AE015451.2	112163	113047	+	885	1298
PP_5427	AE015451.2	113085	113285	-	201	492
PP_0107	AE015451.2	113337	114071	+	735	899
PP_0108	AE015451.2	114043	114621	+	579	357
PP_0109	AE015451.2	114634	115710	+	1077	1173
PP_0110	AE015451.2	115698	116588	+	891	774
PP_0111	AE015451.2	116588	117217	+	630	1123
PP_0112	AE015451.2	117317	118084	-	768	1102
PP_0113	AE015451.2	118152	118820	-	669	387
PP_0114	AE015451.2	118823	119827	-	1005	672
PP_0115	AE015451.2	120055	122187	+	2133	769
PP_0116	AE015451.2	122254	122958	-	705	1463
PP_0117	AE015451.2	123088	123867	-	780	392
PP_0118	AE015451.2	123863	124633	-	771	390
PP_0119	AE015451.2	124633	125115	-	483	211
PP_0120	AE015451.2	125182	126087	+	906	1148
PP_0121	AE015451.2	126143	127090	-	948	1318
PP_0122	AE015451.2	127163	127447	-	285	492
PP_0123	AE015451.2	127523	130267	+	2745	2414
PP_0124	AE015451.2	130644	131273	-	630	3107
PP_0125	AE015451.2	131475	131774	+	300	2450
PP_0126	AE015451.2	131809	132423	+	615	4783
PP_0127	AE015451.2	132578	133207	+	630	6695
PP_0128	AE015451.2	133223	134074	+	852	3761
PP_0129	AE015451.2	134105	136039	+	1935	1174
PP_0130	AE015451.2	136116	136901	+	786	976
PP_0131	AE015451.2	137100	138704	+	1605	855
PP_0132	AE015451.2	138725	140503	-	1779	1058
PP_0133	AE015451.2	140503	141846	-	1344	1333
PP_0134	AE015451.2	142057	142875	+	819	178
PP_5428	AE015451.2	143053	143340	+	288	46
PP_0135	AE015451.2	143387	143545	+	159	38
PP_0136	AE015451.2	143551	144018	+	468	215
PP_0137	AE015451.2	144767	146092	+	1326	162
PP_0138	AE015451.2	146243	147469	+	1227	736
PP_0139	AE015451.2	147457	148089	-	633	513
PP_0140	AE015451.2	148089	149024	-	936	411
PP_0141	AE015451.2	149031	149819	-	789	449
PP_0142	AE015451.2	149819	150949	-	1131	546
PP_0143	AE015451.2	151084	152106	-	1023	448
PP_0144	AE015451.2	152203	153606	-	1404	1501
PP_0145	AE015451.2	153640	155295	-	1656	607
PP_0146	AE015451.2	155581	156375	-	795	585
PP_0147	AE015451.2	156421	157725	-	1305	363
PP_0148	AE015451.2	157990	158391	+	402	414
PP_0149	AE015451.2	158436	160388	-	1953	632
PP_0150	AE015451.2	160388	160705	-	318	135
PP_0151	AE015451.2	160745	161035	-	291	152
