# Program:featureCounts v2.0.6; Command:"featureCounts" "-T4" "-t" "CDS" "-a" "data/ref/GCA_000007565.2_ASM756v2_genomic.gtf" "-o" "results/counts/counts-SRR7029605-bwa.txt" "results/alignment/bwa/SRR7029605.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/bwa/SRR7029605.sorted.bam
PP_0001	AE015451.2	150	1019	-	870	981
PP_0002	AE015451.2	1032	1820	-	789	1094
PP_0003	AE015451.2	1842	2489	-	648	575
PP_0004	AE015451.2	2489	4381	-	1893	2771
PP_0005	AE015451.2	5015	6382	-	1368	1408
PP_0006	AE015451.2	6474	8153	-	1680	2230
PP_0007	AE015451.2	8159	8401	-	243	232
PP_0008	AE015451.2	8397	8798	-	402	1146
PP_0009	AE015451.2	8815	8946	-	132	830
PP_0010	AE015451.2	9542	11059	+	1518	1927
PP_0011	AE015451.2	11103	12203	+	1101	1294
PP_0012	AE015451.2	12222	13322	+	1101	670
PP_0013	AE015451.2	13330	15747	+	2418	2034
PP_5421	AE015451.2	16589	17224	+	636	16
PP_0014	AE015451.2	17208	19163	+	1956	40
PP_0015	AE015451.2	19163	20119	+	957	54
PP_0016	AE015451.2	20198	22111	+	1914	297
PP_0017	AE015451.2	22171	22527	+	357	413
PP_0018	AE015451.2	23176	24015	+	840	205
PP_0019	AE015451.2	24000	24695	+	696	993
PP_0020	AE015451.2	24695	25567	+	873	839
PP_0021	AE015451.2	25881	26801	+	921	95
PP_0022	AE015451.2	26992	27153	-	162	166
PP_0023	AE015451.2	27602	27727	-	126	315
PP_0024	AE015451.2	27853	29547	-	1695	33
PP_0025	AE015451.2	29993	30142	-	150	117
PP_0026	AE015451.2	30431	31333	+	903	1428
PP_0027	AE015451.2	31404	31841	+	438	198
PP_0028	AE015451.2	31880	32203	-	324	24
PP_5422	AE015451.2	32402	32572	+	171	0
PP_0029	AE015451.2	32893	33564	+	672	1189
PP_0030	AE015451.2	33564	34979	+	1416	1375
PP_0031	AE015451.2	35043	35627	-	585	28
PP_0032	AE015451.2	35894	36112	+	219	19
PP_0033	AE015451.2	36201	37652	-	1452	60
PP_0034	AE015451.2	37649	38629	-	981	13
PP_0035	AE015451.2	38598	39014	-	417	6
PP_0036	AE015451.2	39272	40237	+	966	18
PP_0037	AE015451.2	40469	41755	+	1287	52
PP_0039	AE015451.2	42057	43079	+	1023	193
PP_0040	AE015451.2	43210	43431	+	222	89
PP_0041	AE015451.2	43530	45524	-	1995	108
PP_0042	AE015451.2	45730	46050	-	321	8
PP_0043	AE015451.2	46216	49374	-	3159	172
PP_0044	AE015451.2	49402	50649	-	1248	107
PP_0045	AE015451.2	50721	51989	-	1269	57
PP_0046	AE015451.2	52394	53734	+	1341	62
PP_0047	AE015451.2	54227	54898	+	672	24
PP_0048	AE015451.2	55019	55339	+	321	8
PP_5423	AE015451.2	55447	55971	-	525	24
PP_0049	AE015451.2	56164	57627	-	1464	1526
PP_5424	AE015451.2	57643	58089	-	447	904
PP_0050	AE015451.2	58780	59184	-	405	243
PP_0051	AE015451.2	59319	60608	-	1290	232
PP_0052	AE015451.2	60831	61712	+	882	929
PP_0053	AE015451.2	61756	63021	+	1266	832
PP_0054	AE015451.2	62982	63836	+	855	618
PP_0055	AE015451.2	63831	64715	-	885	224
PP_0056	AE015451.2	64943	66592	+	1650	194
PP_0057	AE015451.2	66693	68309	+	1617	85
PP_0058	AE015451.2	68490	69272	-	783	321
PP_0059	AE015451.2	69322	69846	-	525	254
PP_0060	AE015451.2	69853	71904	-	2052	2455
PP_0061	AE015451.2	71904	72848	-	945	1167
PP_0062	AE015451.2	72932	73480	+	549	431
PP_0063	AE015451.2	73525	74409	+	885	589
PP_0064	AE015451.2	74513	74824	-	312	105
PP_0065	AE015451.2	74839	76209	-	1371	435
PP_0066	AE015451.2	76236	77543	-	1308	459
PP_0067	AE015451.2	77543	78472	-	930	343
PP_0068	AE015451.2	78536	79039	-	504	609
PP_0069	AE015451.2	79246	80340	+	1095	202
PP_0070	AE015451.2	80386	80940	+	555	226
PP_5425	AE015451.2	81077	81274	+	198	38
PP_0071	AE015451.2	81691	82020	+	330	77
PP_0072	AE015451.2	82154	83128	-	975	1803
PP_0073	AE015451.2	83261	84169	+	909	518
PP_0074	AE015451.2	84198	85019	+	822	341
PP_0075	AE015451.2	85155	86717	-	1563	175
PP_0076	AE015451.2	86865	87785	-	921	430
PP_0077	AE015451.2	87803	89317	-	1515	110
PP_0079	AE015451.2	89426	90322	+	897	68
PP_0080	AE015451.2	90450	91064	-	615	305
PP_0081	AE015451.2	91078	91446	+	369	221
PP_0082	AE015451.2	91573	92379	-	807	184
PP_0083	AE015451.2	92379	93593	-	1215	193
PP_0084	AE015451.2	93704	94597	+	894	493
PP_0085	AE015451.2	94600	95085	-	486	710
PP_0086	AE015451.2	95071	95283	+	213	699
PP_0087	AE015451.2	95345	95605	+	261	715
PP_0088	AE015451.2	95683	96684	-	1002	699
PP_0089	AE015451.2	96837	97259	+	423	354
PP_0090	AE015451.2	97275	97568	+	294	526
